symbol,threshold,window,start,end,samples,signals,precision,recall,f1,auc,return_pct,profit_factor
0G,0.7700000000000002,1,2026-07-08 17:00:00,2026-07-15 14:00:00,166,10,0.3,0.2,0.24,0.6604856512141281,-2.092071629388989,0.8406178496061594
0G,0.7700000000000002,2,2026-07-15 15:00:00,2026-07-22 12:00:00,166,15,0.2,0.14285714285714285,0.16666666666666666,0.6650246305418719,2.81860041753315,1.7698958660391704
0G,0.7700000000000002,3,2026-07-22 13:00:00,2026-07-29 09:00:00,165,6,0.16666666666666666,0.03333333333333333,0.05555555555555555,0.6590123456790123,-0.750846505086514,0.6233596928608872
AAVE,0.8000000000000003,1,2026-07-08 17:00:00,2026-07-15 14:00:00,166,0,0.0,0.0,0.0,0.4020833333333333,0.0,0.0
AAVE,0.8000000000000003,2,2026-07-15 15:00:00,2026-07-22 12:00:00,166,0,0.0,0.0,0.0,0.9305555555555555,0.0,0.0
AAVE,0.8000000000000003,3,2026-07-22 13:00:00,2026-07-29 09:00:00,165,1,0.0,0.0,0.0,0.6401273885350318,0.35047446702538143,inf
ADA,0.7200000000000002,1,2026-07-08 17:00:00,2026-07-15 14:00:00,166,0,0.0,0.0,0.0,0.6161490683229814,0.0,0.0
ADA,0.7200000000000002,2,2026-07-15 15:00:00,2026-07-22 12:00:00,166,2,0.5,0.16666666666666666,0.25,0.6864583333333333,1.140659802279334,inf
ADA,0.7200000000000002,3,2026-07-22 13:00:00,2026-07-29 09:00:00,165,1,0.0,0.0,0.0,0.7595541401273885,0.3337099055595829,inf
AERO,0.8200000000000003,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,1,1.0,0.06666666666666667,0.125,0.6450331125827815,1.4655222920858038,inf
AERO,0.8200000000000003,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,2,0.5,0.038461538461538464,0.07142857142857142,0.6156593406593407,2.2518154069747913,inf
AERO,0.8200000000000003,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,0,0.0,0.0,0.0,0.6843971631205674,0.0,0.0
AI16Z,0.7700000000000002,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,2,0.5,0.07692307692307693,0.13333333333333333,0.5173453996983408,3.714044862752533,inf
AI16Z,0.7700000000000002,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,2,0.5,0.0625,0.1111111111111111,0.6966666666666667,0.7950905993620166,32.71934807742273
AI16Z,0.7700000000000002,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,44,0.25,0.3793103448275862,0.3013698630136986,0.6501014198782961,-8.495596652353916,0.801203015518569
AIXBT,0.7900000000000003,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,0,0.0,0.0,0.0,0.7685774946921444,0.0,0.0
AIXBT,0.7900000000000003,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,0,0.0,0.0,0.0,0.7118012422360249,0.0,0.0
AIXBT,0.7900000000000003,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,1,0.0,0.0,0.0,0.9,0.39198300506992495,inf
ALGO,0.7600000000000002,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,0,0.0,0.0,0.0,0.675,0.0,0.0
ALGO,0.7600000000000002,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,0,0.0,0.0,0.0,,0.0,0.0
ALGO,0.7600000000000002,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,0,0.0,0.0,0.0,0.7872117400419287,0.0,0.0
ANIME,0.7800000000000002,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,0,0.0,0.0,0.0,0.853416149068323,0.0,0.0
ANIME,0.7800000000000002,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,2,0.0,0.0,0.0,0.5052083333333334,0.6043845330338665,inf
